x	y	z	Ax	Ay	Az
2.7433400223635801e-02	1.5201858996124100e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.3084219321608543e-03
2.6911240324518599e-02	1.5537211845587500e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-2.5954896118491884e-03
1.6156855538752100e-02	-2.7984494683669200e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.8614095002412796e-03
1.5511680842706401e-02	-2.7970027403211098e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.7418500334024429e-03
1.5847033692169801e-02	-2.7447867504093899e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.0759759768843651e-03
1.4866506146660701e-02	-2.7955560122753000e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.6415791884064692e-03
1.5201858996124100e-02	-2.7433400223635801e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.8968826457858086e-03
1.5537211845587500e-02	-2.6911240324518599e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.2228827998042107e-03
0.0000000000000000e+00	3.2313711077504102e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	6.5511995926499375e-03
5.5150403642538503e-04	3.1978594697080906e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	6.2512299045920372e-03
0.0000000000000000e+00	3.1694067384339601e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	6.7102857865393153e-03
1.1030080728507701e-03	3.1643478316657703e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.9515973553061485e-03
5.5150403642538503e-04	3.1358951003916405e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	6.3643367029726505e-03
0.0000000000000000e+00	3.1074423691175100e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	6.8164435215294344e-03
3.2313711077504102e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.4965295605361453e-03
3.1978594697080906e-02	-5.5150403642539501e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-7.0573226548731327e-03
3.1694067384339601e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.6392421722412109e-03
3.1643478316657703e-02	-1.1030080728507900e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-7.6440819539129743e-03
3.1358951003916405e-02	-5.5150403642539501e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-7.1727023459970951e-03
3.1074423691175100e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.7242146469652653e-03
1.0635433620568600e-02	2.0549161111270298e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.3804654851555824e-03
1.1055026555465050e-02	2.1029291346259100e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.1979285888373852e-03
1.1160225123110549e-02	2.0394101797093750e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.6620607133954763e-03
1.1474619490361500e-02	2.1509421581247901e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.0081706829369068e-03
1.1579818058007001e-02	2.0874232032082551e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.4747736062854528e-03
1.1685016625652500e-02	2.0239042482917202e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.9422903899103403e-03
2.0549161111270298e-02	-1.0635433620568600e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.8796904310584086e-03
2.1029291346259100e-02	-1.1055026555465050e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.9366277679800987e-03
2.0394101797093750e-02	-1.1160225123110549e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.1247931122779846e-03
2.1509421581247901e-02	-1.1474619490361500e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.0061509981751459e-03
2.0874232032082551e-02	-1.1579818058007001e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.1955540701746941e-03
2.0239042482917202e-02	-1.1685016625652500e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.3720853328704834e-03
1.9485136251310702e-02	1.2478378738535001e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-8.9095375733450055e-04
2.0088579509673851e-02	1.2684387251712101e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0763240279629827e-03
1.9862089367113950e-02	1.2081697682093750e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.5846724854782224e-03
2.0692022768036999e-02	1.2890395764889200e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.2710151495411992e-03
2.0465532625477102e-02	1.2287706195270851e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.7742462223395705e-03
2.0239042482917202e-02	1.1685016625652500e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-2.2792867384850979e-03
1.2478378738535001e-02	-1.9485136251310702e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0037429630756378e-02
1.2684387251712101e-02	-2.0088579509673851e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.0001915507018566e-02
1.2081697682093750e-02	-1.9862089367113950e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.8478971049189568e-03
1.2890395764889200e-02	-2.0692022768036999e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.9518420174717903e-03
1.2287706195270851e-02	-2.0465532625477102e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.7867986187338829e-03
1.1685016625652500e-02	-2.0239042482917202e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.6429251134395599e-03
2.3113812359103699e-02	1.0640248599595901e-03	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.6571527384221562e-03
2.3739413807177149e-02	9.4071183658522351e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.7818694040179253e-03
2.3241922805204401e-02	5.3201242997979504e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.1139622703194618e-03
2.4365015255250599e-02	8.1739881321085705e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.9208464808762065e-03
2.3867524253277851e-02	4.0869940660542852e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.2546753324568263e-03
2.3370033251305100e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-6.5776812843978414e-03
2.0549161111270298e-02	1.0635433620568600e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.6393341142684221e-03
2.0394101797093750e-02	1.1160225123110549e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-2.9602323193103075e-03
2.1029291346259100e-02	1.1055026555465050e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.5192712675780054e-03
2.0239042482917202e-02	1.1685016625652500e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-2.2792867384850979e-03
2.0874232032082551e-02	1.1579818058007001e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-2.8359773568809032e-03
2.1509421581247901e-02	1.1474619490361500e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.3943823073059320e-03
1.2478378738535001e-02	1.9485136251310702e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.5254757599905138e-03
1.2081697682093750e-02	1.9862089367113950e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.2326707839965820e-03
1.2684387251712101e-02	2.0088579509673851e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.6589219449087980e-03
1.1685016625652500e-02	2.0239042482917202e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.9422903899103403e-03
1.2287706195270851e-02	2.0465532625477102e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.3707151412963867e-03
1.2890395764889200e-02	2.0692022768036999e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.7945640720427036e-03
1.0635433620568600e-02	-2.0549161111270298e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.2096030712127686e-03
1.1160225123110549e-02	-2.0394101797093750e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.4351237639784813e-03
1.1055026555465050e-02	-2.1029291346259100e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.2050749808549881e-03
1.1685016625652500e-02	-2.0239042482917202e-02	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-9.6429251134395599e-03
